번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
45,부산광역시 중구청,광복로35번길 23,신창동3가 31-1,다목적,1,200,360도 전방면,30,2012-12,051-600-4172,35.11147093,129.036934,2022-06-08
46,부산광역시 중구청,보동길 1,보수동1가 60-61,다목적,1,200,360도 전방면,30,2012-12,051-600-4172,35.09938825,129.03112,2022-06-08
47,부산광역시 중구청,중구로 150-34,동광동5가 3-182,다목적,1,200,360도 전방면,30,2012-12,051-600-4172,35.11273163,129.0316222,2022-06-08
48,부산광역시 중구청,광복로 31,창선동2가 22-2,다목적,1,200,360도 전방면,30,2012-12,051-600-4172,35.1050768,129.0349676,2022-06-08
49,부산광역시 중구청,법수길 71,보수동1가 41-25,다목적,1,200,360도 전방면,30,2012-12,051-600-4172,35.10499511,129.0260744,2022-06-08
50,부산광역시 중구청,대영로242번안길 3-8,영주동 640-20,다목적,1,200,360도 전방면,30,2012-12,051-600-4172,35.09699416,129.0298632,2022-06-08
51,부산광역시 중구청,망양로307번길 3-2,보수동1가 59-315,다목적,1,200,360도 전방면,30,2012-12,051-600-4172,35.1059082,129.0307466,2022-06-08
52,부산광역시 중구청,대영로226번안길 10,영주동 640-31,다목적,1,200,360도 전방면,30,2012-12,051-600-4172,35.10359856,129.0319789,2022-06-08
53,부산광역시 중구청,중구로156번길 7,영주동 743-12,다목적,1,200,360도 전방면,30,2012-12,051-600-4172,35.10124376,129.0369733,2022-06-08
54,부산광역시 중구청,배수지길 22,영주동 4-10,다목적,1,200,360도 전방면,30,2012-12,051-600-4172,35.09896773,129.0288946,2022-06-08
55,부산광역시 중구청,보수대로106번길 7,보수동3가 15-5,다목적,1,200,360도 전방면,30,2012-12,051-600-4172,35.10982422,129.0315281,2022-06-08
56,부산광역시 중구청,보수대로44번길 6-2,부평동3가 80,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.10098762,129.023861,2022-06-08
57,부산광역시 중구청,광복로18번길 6-1,부평동1가 39-5,다목적,2,200,360도 전방면,30,2020-12,051-600-4172,35.09898398,129.0270616,2022-06-08
58,부산광역시 중구청,광복로18번길 10,부평동1가 39-5,다목적,2,200,360도 전방면,30,2020-12,051-600-4172,35.09886051,129.0269006,2022-06-08
59,부산광역시 중구청,중구로24번길 10,창선동2가 40-5,다목적,4,200,360도 전방면,30,2020-12,051-600-4172,35.10001508,129.0287758,2022-06-08
60,부산광역시 중구청,광복로39번길 3-1,창선동2가 5,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.09961345,129.0292965,2022-06-08
61,부산광역시 중구청,광복중앙로 13,신창동1가 8-2,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.10059944,129.0309044,2022-06-08
62,부산광역시 중구청,초량상로 17-1,영주동 12-30,다목적,4,200,360도 전방면,30,2020-12,051-600-4172,35.1137893,129.0356142,2022-06-08
63,부산광역시 중구청,영주로 89,영주동 774,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.11480751,129.0316475,2022-06-08
64,부산광역시 중구청,동영로22번길 12,영주동 536-130,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.10916496,129.0347271,2022-06-08
65,부산광역시 중구청,영주로 69,영주동 295,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.11344997,129.0300564,2022-06-08
66,부산광역시 중구청,동영로 37-1,영주동 289-9,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.10999776,129.0334319,2022-06-08
67,부산광역시 중구청,광복로39번길 7-3,창선동1가 44,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.10599235,129.0267965,2022-06-08
68,부산광역시 중구청,대청로 86,대청동3가 27,다목적,4,200,360도 전방면,30,2020-12,051-600-4172,35.10959905,129.0337773,2022-06-08
69,부산광역시 중구청,복병산길 9-11,대청동1가 50-20,다목적,2,200,360도 전방면,30,2020-12,051-600-4172,35.10878184,129.0257514,2022-06-08
70,부산광역시 중구청,망양로350번길 14-1,대청동4가 20-28,다목적,2,200,360도 전방면,30,2020-12,051-600-4172,35.10514123,129.0345657,2022-06-08
71,부산광역시 중구청,망양로344번길 1,대청동4가 2-31,다목적,2,200,360도 전방면,30,2020-12,051-600-4172,35.11193715,129.0336424,2022-06-08
72,부산광역시 중구청,망양로332번길 3,대청동4가 65-80,다목적,3,200,360도 전방면,30,2020-12,051-600-4172,35.11344997,129.0300564,2022-06-08
73,부산광역시 중구청,중구로62번길 14,대청동3가 4-4,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.11061744,129.0317321,2022-06-08
74,부산광역시 중구청,보동길26번길 3,보수동1가 59-565,다목적,2,200,360도 전방면,30,2020-12,051-600-4172,35.1008124,129.0341116,2022-06-08
75,부산광역시 중구청,법수길 4,보수동1가 105-2,다목적,6,200,360도 전방면,30,2020-08,051-600-4172,35.10632037,129.025072,2022-06-08
76,부산광역시 중구청,책방골목길 31,보수동 130-3,다목적,2,200,360도 전방면,30,2020-05,051-600-4172,35.09995902,129.0304016,2022-06-08
77,부산광역시 중구청,부평1길 15,부평동2가 82,다목적,4,200,360도 전방면,30,2020-05,051-600-4172,35.10616886,129.0296038,2022-06-08
78,부산광역시 중구청,중구로40번길 20-2,신창동1가 42,다목적,2,200,360도 전방면,30,2020-09,051-600-4172,35.1133366,129.0323041,2022-06-08
79,부산광역시 중구청,중구로 172-1,영주동 675-1,다목적,3,200,360도 전방면,30,2020-09,051-600-4172,35.10444959,129.0216129,2022-06-08
80,부산광역시 중구청,대영로 217,영주동 57,다목적,2,200,360도 전방면,30,2020-09,051-600-4172,35.11210019,129.0320891,2022-06-08
81,부산광역시 중구청,대청로 142-2,중앙동2가 58,다목적,5,200,360도 전방면,30,2020-09,051-600-4172,35.10666767,129.0310287,2022-06-08
82,부산광역시 중구청,광복동1가 5-2,동광동2가 21,다목적,4,200,360도 전방면,30,2020-07,051-600-4172,35.10364018,129.0314316,2022-06-08
83,부산광역시 중구청,중구로62번길 14,대청동3가 4-4,다목적,3,200,360도 전방면,30,2020-07,051-600-4172,35.10541139,129.0259706,2022-06-08
84,부산광역시 중구청,복병산길 20,대청동1가 50-1,다목적,3,200,360도 전방면,30,2020-06,051-600-4172,35.10569258,129.0296315,2022-06-08
85,부산광역시 중구청,동광길 131,대창동1가 54-13,다목적,3,200,360도 전방면,30,2020-06,051-600-4172,35.11385575,129.0333742,2022-06-08
86,부산광역시 중구청,초량중로6번길 13,영주동 747-1,다목적,3,200,360도 전방면,30,2020-12,051-600-4172,35.10276269,129.0280807,2022-06-08
87,부산광역시 중구청,영주로 25,영주동 295,다목적,2,200,360도 전방면,30,2020-06,051-600-4172,35.11378178,129.0315518,2022-06-08
88,부산광역시 중구청,중앙대로41번길 24,동광동3가 47-4,다목적,2,200,360도 전방면,30,2020-06,051-600-4172,35.10758331,129.0342492,2022-06-08
89,부산광역시 중구청,용두산길 14,광복동2가 1-26,다목적,3,200,360도 전방면,30,2020-12,051-600-4172,35.09846509,129.030926,2022-06-08
90,부산광역시 중구청,대청로99번길 14-1,대청동2가 2-2,다목적,2,200,360도 전방면,30,2020-12,051-600-4172,35.10087337,129.0253056,2022-06-08
91,부산광역시 중구청,중구로 86-1,대청동4가 84-1,다목적,2,200,360도 전방면,30,2020-05,051-600-4172,35.10338288,129.0280697,2022-06-08
92,부산광역시 중구청,중구로111번길 8,대청동4가 23,다목적,3,200,360도 전방면,30,2020-05,051-600-4172,35.09683689,129.0347277,2022-06-08
93,부산광역시 중구청,샘길 12,대청동1가 6-27,다목적,2,200,360도 전방면,30,2020-05,051-600-4172,35.10154083,129.0280723,2022-06-08
94,부산광역시 중구청,보수대로 76,부평동4가 55-19,다목적,3,200,360도 전방면,30,2020-05,051-600-4172,35.09714039,129.0271563,2022-06-08
95,부산광역시 중구청,망양로358번길 1,영주동 293-17,다목적,3,200,360도 전방면,30,2020-05,051-600-4172,35.10234376,129.0317854,2022-06-08
96,부산광역시 중구청,동영로 61,영주동 285-11,다목적,2,200,360도 전방면,30,2020-05,051-600-4172,35.10255241,129.0255147,2022-06-08
97,부산광역시 중구청,망양로 393-11,영주동 214-9,다목적,2,200,360도 전방면,30,2020-05,051-600-4172,35.10038946,129.0305953,2022-06-08
98,부산광역시 중구청,중앙대로41번길 3,중앙동1가 21-1,다목적,3,200,360도 전방면,30,2020-05,051-600-4172,35.10050047,129.0251688,2022-06-08
99,부산광역시 중구청,중구로 120,대청동1가 3-1,다목적,2,200,360도 전방면,30,2020-05,051-600-4172,35.10575033,129.0305776,2022-06-08
100,부산광역시 중구청,영주로 69,용주로 69,다목적,2,200,360도 전방면,30,2020-05,051-600-4172,35.09715494,129.0377993,2022-06-08
101,부산광역시 중구청,보수북길 14,보수동1가 27-1,다목적,3,200,360도 전방면,30,2020-05,051-600-4172,35.10692048,129.0352955,2022-06-08
102,부산광역시 중구청,흑교로81번길 4,보수동2가 45,다목적,2,200,360도 전방면,30,2020-05,051-600-4172,35.09766321,129.0369423,2022-06-08
103,부산광역시 중구청,책방골목길 8-1,보수동2가 119,다목적,3,200,360도 전방면,30,2020-05,051-600-4172,35.1044847,129.0349826,2022-06-08
104,부산광역시 중구청,흑교로31번길 21-2,부평동4가 14-6,다목적,3,200,360도 전방면,30,2020-05,051-600-4172,35.1097431,129.0329875,2022-06-08
105,부산광역시 중구청,광복중앙로 33,신창동1가 1-3,다목적,3,200,360도 전방면,30,2020-05,051-600-4172,35.11185311,129.0341155,2022-06-08
106,부산광역시 중구청,대청로138번길 12,중앙동2가 52-1,다목적,2,200,360도 전방면,30,2020-05,051-600-4172,35.10540464,129.0349,2022-06-08
107,부산광역시 중구청,영주동 220-16,영주동 222-1,다목적,2,200,360도 전방면,30,2020-05,051-600-4172,35.10600661,129.0277,2022-06-08
108,부산광역시 중구청,영주로 37,영주동 295,다목적,2,200,360도 전방면,30,2020-05,051-600-4172,35.10558601,129.0325,2022-06-08
109,부산광역시 중구청,망양로344번길 4-3,대청동4가 2-367,다목적,2,200,360도 전방면,30,2020-05,051-600-4172,35.10477889,129.0315,2022-06-08
110,부산광역시 중구청,대청북길34번길 5,대청동4가 54-7,다목적,2,200,360도 전방면,30,2020-05,051-600-4172,35.0979328,129.0308,2022-06-08
111,부산광역시 중구청,샘길 10,대청동1가 6-4,다목적,4,200,360도 전방면,30,2020-05,051-600-4172,35.0986296,129.0294,2022-06-08
112,부산광역시 중구청,영주동 13-9,초량상로12번길,다목적,2,200,360도 전방면,30,2020-05,051-600-4172,35.09867666,129.0335,2022-06-08
113,부산광역시 중구청,구덕로 4,광복동1가 40-3,다목적,2,200,360도 전방면,30,2020-05,051-600-4172,35.09979755,129.0337,2022-06-08
114,부산광역시 중구청,영주로11번길 4,영주동 290-6,다목적,3,200,360도 전방면,30,2020-12,051-600-4172,35.0989603,129.0374,2022-06-08
115,부산광역시 중구청,복병산길 31,대청동1가 9-171,다목적,2,200,360도 전방면,30,2020-12,051-600-4172,35.09906067,129.0315,2022-06-08
116,부산광역시 중구청,도로명주소 없음,영주동 205-4,다목적,3,200,360도 전방면,30,2020-12,051-600-4172,35.09633507,129.0334,2022-06-08
117,부산광역시 중구청,망양로294,보수동1가_41-482,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.10986487,129.0237,2022-06-08
118,부산광역시 중구청,동영로31번길안길1,영주동534-297,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.09664996,129.0294,2022-06-08
119,부산광역시 중구청,망양로259번길1,보수동1가 41-288,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.10693283,129.0295,2022-06-08
120,부산광역시 중구청,중구로 120,대청동1가 1-4,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.10762001,129.0312,2022-06-08
121,부산광역시 중구청,부산광역시 중구 중구로24번길 10,부산광역시 중구 창선동2가 17-2,다목적,3,200,360도 전방면,30,2020-12,051-600-4172,35.10433701,129.0347,2022-06-08
122,부산광역시 중구청,부산광역시 중구 광복로39번길 3-1,부산광역시 중구 창선동2가 5,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.10854531,129.0237,2022-06-08
123,부산광역시 중구청,부산광역시 중구 광복중앙로 13,부산광역시 중구 신창동1가 8-2,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.10098762,129.0279,2022-06-08
124,부산광역시 중구청,부산광역시 중구 초량상로 17-1,부산광역시 중구 영주동 12-30,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.09898398,129.0376,2022-06-08
125,부산광역시 중구청,부산광역시 중구 영주로 89,부산광역시 중구 영주동 71-6,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.09886051,129.035,2022-06-08
126,부산광역시 중구청,부산광역시 중구 동영로22번길 12,부산광역시 중구 영주동 534-324,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.10001508,129.0276,2022-06-08
127,부산광역시 중구청,부산광역시 중구 영주로 69,부산광역시 중구 영주동 92,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.09961345,129.0261,2022-06-08
128,부산광역시 중구청,부산광역시 중구 동영로 37-1,부산광역시 중구 영주동 289-9,다목적,1,200,360도 전방면,30,2020-12,051-600-4172,35.10059944,129.0235,2022-06-08
129,부산광역시 중구청,부산광역시 중구 망양로 294,부산광역시 중구 보수동1가 41-482,다목적,1,200,360도 전방면,30,2020-01,051-600-4172,35.1137893,129.0257,2022-06-08
130,부산광역시 중구청,부산광역시 중구 동영로31번안길 1,부산광역시 중구 영주동 534-297,다목적,1,200,360도 전방면,30,2020-01,051-600-4172,35.11480751,129.0344,2022-06-08
131,부산광역시 중구청,부산광역시 중구 망양로259번길 2,부산광역시 중구 보수동1가 41-288,다목적,1,200,360도 전방면,30,2020-01,051-600-4172,35.10916496,129.033,2022-06-08
132,부산광역시 중구청,부산광역시 중구 동광길 53,부산광역시 중구 동광동5가 44-27,쓰레기단속,1,200,동광동주민센터 앞 공중전화부스 방면,30,2020-01,051-600-4434,35.11344997,129.0334,2022-06-08
133,부산광역시 중구청,부산광역시 중구 임소길 10,부산광역시 중구 영주동 472-13,쓰레기단속,1,200,설치전주대 아래쪽 방면,30,2020-01,051-600-4434,35.10999776,129.034,2022-06-08
134,부산광역시 중구청,부산광역시 중구 영주로 69,부산광역시 중구 영주동 92,쓰레기단속,1,200,영주동아아파트 경비실 방면,30,2020-01,051-600-4434,35.10599235,129.03,2022-06-08
135,부산광역시 중구청,부산광역시 중구 동영로 61-1,부산광역시 중구 영주동 285-1,쓰레기단속,1,200,공영주차장 방면,30,2020-01,051-600-4434,35.10959905,129.032,2022-06-08
136,부산광역시 중구청,부산광역시 중구 대청로126번길 24,부산광역시 중구 동광동2가 17-3,쓰레기단속,1,200,한솔숯불갈비 앞 전주 방면,30,2020-01,051-600-4434,35.10878184,129.034,2022-06-08
137,부산광역시 중구청,부산광역시 중구 흑교로78번길 17,부산광역시 중구 보수동1가 40-15,쓰레기단속,1,200,설치전주 옆 적사항 방면,30,2020-01,051-600-4434,35.10514123,129.025,2022-06-08
138,부산광역시 중구청,부산광역시 중구 광복로55번길 10,부산광역시 중구 신창동1가 9-1,쓰레기단속,1,200,창선동우체국 방면,30,2020-01,051-600-4434,35.11193715,129.03,2022-06-08
139,부산광역시 중구청,부산광역시 중구 대청북길17번길 17-1,부산광역시 중구 대청동4가 72-85,쓰레기단속,1,200,계단 진입로 방면,30,2020-01,051-600-4434,35.11344997,129.03,2022-06-08
140,부산광역시 중구청,부산광역시 중구 초량상로7번길 29-1,부산광역시 중구 영주동 74-7,쓰레기단속,1,200,영주아파트 앞 골목(동쪽) 방면,30,2020-01,051-600-4434,35.11061744,129.032,2022-06-08
141,부산광역시 중구청,,부산광역시 중구 보수동3가 28-12,쓰레기단속,1,200,360도 전방면,30,2020-01,051-600-4434,35.1008124,129.022,2022-06-08
142,부산광역시 중구청,부산광역시 중구 동영로73번길 10,부산광역시 중구 영주동 277-14,쓰레기단속,1,200,360도 전방면,30,2020-01,051-600-4434,35.10632037,129.032,2022-06-08
143,부산광역시 중구청,부산광역시 중구 대청북길 40,부산광역시 중구 대청동4가 45-5,쓰레기단속,1,200,360도 전방면,30,2020-01,051-600-4434,35.09995902,129.031,2022-06-08
144,부산광역시 중구청,부산광역시 중구 복병산길7번길 5,부산광역시 중구 대청동2가 4-9,쓰레기단속,2,200,170도 방면,30,2020-05,051-600-4434,35.10616886,129.031,2022-06-08
145,부산광역시 중구청,부산광역시 중구 법수길 34,부산광역시 중구 보수동1가 59-22,쓰레기단속,2,200,170도 방면,30,2020-05,051-600-4434,35.1133366,129.026,2022-06-08
146,부산광역시 중구청,부산광역시 중구 대청북길 22,부산광역시 중구 대청동4가 78-10,쓰레기단속,1,200,360도 전방면,30,2020-05,051-600-4434,35.11444,129.03,2022-06-08
147,부산광역시 중구청,부산광역시 중구 영초길 103,부산광역시 중구 영주동 72-4,쓰레기단속,1,200,360도 전방면,30,2020-05,051-600-4434,35.10701,129.033,2022-06-08
148,부산광역시 중구청,부산광역시 중구 중구로 56,부산광역시 중구 대청동3가 25-9,쓰레기단속,1,200,360도 전방면,30,2020-05,051-600-4434,35.10335,129.028,2022-06-08
149,부산광역시 중구청,부산광역시 중구 영초길 68,부산광역시 중구 영주동 76-2,쓰레기단속,1,200,계단 진입로 방면,30,2020-09,051-600-4434,35.10363,129.032,2022-06-08
150,부산광역시 중구청,부산광역시 중구 동광길93번길 12,부산광역시 중구 동광동5가 9-42,쓰레기단속,1,200,새마을초소인근 방면,30,2020-09,051-600-4434,35.11275,129.034,2022-06-08
151,부산광역시 중구청,부산광역시 중구 영주로24,부산광역시 중구 영주로24,쓰레기단속,2,200,360도 전방면,30,2020-05,051-600-4434,35.11188,129.032,2022-06-08
152,부산광역시 중구청,부산광역시 중구 보수동1가 흑교로 78번길,부산광역시 중구 보수동1가 흑교로 78번길,쓰레기단속,2,200,360도 전방면,30,2020-05,051-600-4434,35.10178,129.025,2022-06-08
153,부산광역시 중구청,부산광역시 중구 영주로 동광길 179,부산광역시 중구 영주로 동광길 179,쓰레기단속,2,200,계단 진입로 방면,30,2020-09,051-600-4434,35.10689,129.037,2022-06-08
154,부산광역시 중구청,부산광역시 중구 동광동5가 중구로 148번길,부산광역시 중구 동광동5가 중구로 148번길,쓰레기단속,2,200,새마을초소인근 방면,30,2020-09,051-600-4434,35.10181,129.035,2022-06-08
155,부산광역시 중구청,중구로188번길 8-1,영주동 671-4,다목적,1,200,360도 전방면,30,2021-08,051-600-4172,35.11250249,129.0280594,2022-06-08
156,부산광역시 중구청,고가길 40,보수동1가 145-33,다목적,1,200,360도 전방면,30,2021-08,051-600-4172,35.10404621,129.0322883,2022-06-08
157,부산광역시 중구청,영주로11번길 4,영주동 290-6,다목적,1,200,360도 전방면,30,2021-08,051-600-4172,35.10988642,129.0323867,2022-06-08
158,부산광역시 중구청,영주로88번길 2,영주동 90-2,다목적,1,200,360도 전방면,30,2021-08,051-600-4172,35.098353,129.035276,2022-06-08
159,부산광역시 중구청,대청북길39번길 3,대청동4가 60-3,다목적,1,200,360도 전방면,30,2021-08,051-600-4172,35.112994,129.035602,2022-06-08
160,부산광역시 중구청,중구로62번길 14,대청동3가 4-4,다목적,1,200,360도 전방면,30,2021-08,051-600-4172,35.105931,129.032882,2022-06-08
161,부산광역시 중구청,복병산길 20,대청동1가 23,다목적,1,200,360도 전방면,30,2021-08,051-600-4172,35.105936,129.030495,2022-06-08
162,부산광역시 중구청,동영로 109,영주동 60-10,다목적,1,200,360도 전방면,30,2021-08,051-600-4172,35.107656,129.030701,2022-06-08
163,부산광역시 중구청,대영로242번길 1,영주동 599-5,다목적,1,200,360도 전방면,30,2021-08,051-600-4172,35.110767,129.030492,2022-06-08
164,부산광역시 중구청,용두산길 14,광복동2가 1-26,다목적,1,200,360도 전방면,30,2021-08,051-600-4172,35.110697,129.029216,2022-06-08
165,부산광역시 중구청,샘길 25,동광동5가 16-233,다목적,1,200,360도 전방면,30,2021-06,051-600-4172,35.104925,129.025068,2022-06-08
166,부산광역시 중구청,부산광역시 중구 구덕로 46,부산광역시 중구 남포동4가 4-3,교통단속,5,200,360도 전방면,30,2020-09,051-600-4564,35.11154,129.031,2022-06-08
167,부산광역시 중구청,부산광역시 중구 흑교로 16-1,부산광역시 중구 부평동2가 66-5,교통단속,1,200,360도 전방면,30,2020-05,051-600-4564,35.11056,129.025,2022-06-08
168,부산광역시 중구청,부산광역시 중구 중구로 61,부산광역시 중구 보수동1가 146-4,교통단속,1,200,360도 전방면,30,2020-05,051-600-4564,35.1125,129.028,2022-06-08
